"A112109 - Number of Workers in household (6) (Households)"
"Current date: 12/11/2020 11:03:50 AM (Eastern Standard Time)"
"RESIDENCE","Number of Workers in Household 6","Output","Households",
"TAZ 00104004, Durham County, North Carolina","1 worker","Estimate","135"
"TAZ 00104004, Durham County, North Carolina","2 workers","Estimate","180"
"TAZ 00104004, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00104004, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00104007, Durham County, North Carolina","Total, number of workers in household","Estimate","260"
"TAZ 00104007, Durham County, North Carolina","0 workers","Estimate","70"
"TAZ 00104007, Durham County, North Carolina","1 worker","Estimate","95"
"TAZ 00104007, Durham County, North Carolina","2 workers","Estimate","95"
"TAZ 00104007, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00104007, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00104008, Durham County, North Carolina","Total, number of workers in household","Estimate","315"
"TAZ 00104008, Durham County, North Carolina","0 workers","Estimate","50"
"TAZ 00104008, Durham County, North Carolina","1 worker","Estimate","120"
"TAZ 00104008, Durham County, North Carolina","2 workers","Estimate","145"
"TAZ 00104008, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00104008, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00104009, Durham County, North Carolina","Total, number of workers in household","Estimate","630"
"TAZ 00104009, Durham County, North Carolina","0 workers","Estimate","155"
