Geo_FIPS,total,poverty,non-poverty
370319703013,1403,212,1191
370319703041,303,68,235
370319703042,700,150,550
370319703051,351,50,301
370319703052,515,56,459
370319704011,869,160,709
370319704021,611,81,530
370319704031,165,39,126
370319704032,451,15,436
370319705011,942,170,772
370319705012,439,15,424
370319705021,640,40,600
370319705022,371,34,337
370319705031,316,118,198
370319705032,781,29,752
370319705041,483,15,468
370319705042,246,47,199
370319706011,496,43,453
370319706021,500,24,476
370319706031,520,82,438
370319706061,637,18,619
370319706062,355,42,313
370319706063,694,49,645
370319707011,494,115,379
370319707021,980,95,885
370319707022,349,82,267
370319707031,796,23,773
370319707032,556,18,538
370319707033,269,45,224
370319707034,84,0,84
370319707041,424,46,378
370319707042,552,11,541
370319708011,383,0,383
370319708012,268,45,223
370319708013,443,25,418
370319708041,664,44,620
370319708042,485,20,465
370319708043,407,20,387
370319708051,744,81,663
370319708061,281,6,275
370319708062,508,36,472
370319708063,1046,77,969
370319709031,533,16,517
370319709041,561,17,544
370319709042,614,12,602
370319710031,195,3,192
370319710032,635,16,619
370319711031,480,16,464
370319711032,510,24,486
370319801001,0,0,0
370319901000,0,0,0
370319902000,0,0,0
370339301001,646,56,590
370339301002,376,85,291
370339302001,157,5,152
370339302002,586,154,432
370339302003,361,81,280
370339302004,1043,341,702
370339303001,872,270,602
370339303002,398,14,384
370339303003,339,55,284
370339304001,538,80,458
370339304002,350,21,329
370339305001,432,34,398
370339305002,310,0,310
370339305003,783,171,612
370339306001,460,37,423
370339306002,482,97,385
370339306003,501,0,501
370339306004,359,40,319
370350101011,467,37,430
370350101012,764,17,747
370350101013,564,53,511
370350101014,515,23,492
370350101021,373,55,318
370350101022,730,46,684
370350101023,710,40,670
370350102011,912,38,874
370350102012,464,36,428
370350102013,375,24,351
370350102031,490,65,425
370350102032,822,63,759
370350102041,929,239,690
370350102042,513,65,448
370350102043,460,13,447
370350103011,426,39,387
370350103012,564,121,443
370350103013,887,122,765
370350103021,927,59,868
370350103022,221,16,205
370350103023,823,152,671
370350103024,611,64,547
370350103031,591,120,471
370350103032,1244,97,1147
370350103041,401,37,364
370350103042,381,82,299
370350103043,749,150,599
370350104021,958,176,782
370350104022,481,106,375
370350104023,480,85,395
370350104031,1045,72,973
370350104032,1006,260,746
370350104041,596,83,513
370350104042,549,28,521
370350105011,868,28,840
370350105012,590,7,583
370350105021,855,18,837
370350105022,555,86,469
370350106001,767,43,724
370350106002,245,0,245
370350106003,645,98,547
370350106004,860,251,609
370350107001,276,15,261
370350107002,424,95,329
370350107003,352,66,286
370350109001,717,252,465
370350109002,767,319,448
370350110001,487,115,372
370350110002,331,116,215
370350111011,620,76,544
370350111012,701,67,634
370350111021,547,81,466
370350111022,441,91,350
370350111023,973,127,846
370350111024,1035,135,900
370350112001,1041,64,977
370350112002,408,36,372
370350112003,319,16,303
370350112004,597,0,597
370350113001,839,51,788
370350113002,837,46,791
370350113003,917,228,689
370350114011,798,200,598
370350114012,579,99,480
370350114013,491,184,307
370350114021,622,78,544
370350114022,561,55,506
370350114023,408,32,376
370350115011,1043,79,964
370350115012,823,96,727
370350115013,330,77,253
370350115031,821,60,761
370350115032,610,48,562
370350115051,870,19,851
370350115052,676,75,601
370350115061,518,64,454
370350115062,763,45,718
370350116011,502,106,396
370350116012,824,168,656
370350116013,338,20,318
370350116021,397,43,354
370350116022,771,124,647
370350116023,345,0,345
370350116024,496,39,457
370350117011,695,54,641
370350117012,667,15,652
370350117013,490,17,473
370350117021,822,18,804
370350117022,806,26,780
370350117023,492,47,445
370350117024,304,17,287
370350117025,447,22,425
370350118011,713,63,650
370350118012,732,66,666
370350118013,894,9,885
370350118021,324,11,313
370350118022,505,98,407
370350118023,714,121,593
370350118024,707,99,608
370370201031,711,79,632
370370201032,444,47,397
370370201033,730,10,720
370370201041,775,11,764
370370201042,589,4,585
370370201043,646,37,609
370370201044,477,8,469
370370201051,575,42,533
370370201052,287,24,263
370370201053,1656,30,1626
370370201071,444,53,391
370370201072,306,53,253
370370201073,332,13,319
370370201081,434,100,334
370370201082,287,8,279
370370202011,907,105,802
370370202012,379,24,355
370370202021,679,57,622
370370202022,594,13,581
370370202031,463,65,398
370370202032,551,121,430
370370203001,488,82,406
370370203002,216,9,207
370370203003,294,10,284
370370204011,621,115,506
370370204012,458,53,405
370370204013,324,35,289
370370204014,668,172,496
370370204021,345,49,296
370370204022,610,376,234
370370204023,323,157,166
370370204024,694,124,570
370370205001,253,6,247
370370205002,253,51,202
370370205003,219,38,181
370370205004,640,179,461
370370206001,253,34,219
370370206002,232,0,232
370370206003,409,20,389
370370206004,504,21,483
370370206005,608,180,428
370370207021,728,32,696
370370207022,373,29,344
370370207023,443,10,433
370370207024,302,54,248
370370207031,1891,45,1846
370370207032,132,0,132
370370207041,384,0,384
370370207042,412,46,366
370370207043,317,0,317
370370208011,993,64,929
370370208012,348,0,348
370370208013,270,18,252
370370208014,472,29,443
370370208021,649,118,531
370370208022,580,117,463
370370208031,322,0,322
370370208032,610,0,610
370399301011,273,0,273
370399301012,444,90,354
370399301013,371,110,261
370399301021,490,14,476
370399301022,419,51,368
370399302001,635,137,498
370399302002,375,0,375
370399303001,857,115,742
370399303002,225,35,190
370399304011,541,43,498
370399304012,552,168,384
370399304013,395,59,336
370399304021,320,98,222
370399304022,596,131,465
370399305011,297,17,280
370399305012,470,14,456
370399305021,466,67,399
370399305022,710,145,565
370399305023,506,63,443
370399306031,609,64,545
370399306032,247,81,166
370399306041,655,192,463
370399306042,202,48,154
370399306051,543,127,416
370399306052,351,40,311
370399306061,454,90,364
370399306062,543,49,494
370419301010,0,0,0
370419301011,521,199,322
370419301012,677,158,519
370419301013,722,139,583
370419301014,367,309,58
370419301020,0,0,0
370419301021,640,70,570
370419301022,398,47,351
370419302011,551,12,539
370419302012,634,118,516
370419302013,252,0,252
370419302014,618,0,618
370419302021,498,39,459
370419302022,511,86,425
370439501011,429,86,343
370439501012,953,203,750
370439501021,596,14,582
370439501022,493,30,463
370439502011,678,124,554
370439502012,960,237,723
370439502021,469,106,363
370439502022,722,149,573
370459501011,552,143,409
370459501012,592,78,514
370459501013,294,77,217
370459501014,329,41,288
370459501021,613,193,420
370459501022,384,73,311
370459502001,460,78,382
370459502002,458,88,370
370459502003,345,35,310
370459502004,465,57,408
370459503011,540,105,435
370459503012,294,79,215
370459503013,384,79,305
370459503014,381,39,342
370459503021,524,73,451
370459503022,546,33,513
370459503023,594,63,531
370459503024,330,42,288
370459504001,540,106,434
370459504002,652,239,413
370459504003,494,129,365
370459504004,343,62,281
370459504005,528,73,455
370459504006,356,30,326
370459505001,394,66,328
370459505002,476,76,400
370459505003,558,252,306
370459506011,534,103,431
370459506012,360,43,317
370459506013,497,140,357
370459506031,547,86,461
370459506032,545,17,528
370459506041,305,90,215
370459506042,807,216,591
370459507011,650,127,523
370459507012,418,14,404
370459507013,529,227,302
370459507021,749,67,682
370459507022,794,154,640
370459508001,480,55,425
370459508002,656,136,520
370459508003,681,159,522
370459509001,527,166,361
370459509002,416,101,315
370459509003,342,104,238
370459510001,309,10,299
370459510002,349,101,248
