attraction_taz,attraction_district,observed_trips,emp,pop,raw_estimated_trips,estimated_trips
2090,18,0,40,116,18.22326643488246,25.624576757586336
2091,18,0,22,929,144.18249727229593,202.74166992270395
2092,18,0,43,1568,243.39109332699758,342.2434597747095
2093,18,0,22,491,76.26531174166435,107.24017791479618
2094,18,0,62,832,129.3775433463918,181.92374029288308
2095,18,288.8764137029648,102,2503,388.7223246217585,546.600417672151
2096,18,0,322,3815,593.4621234557254,834.4945067642864
2097,18,103.18039193749428,400,812,128.27106488613103,180.36786981615583
2098,19,0,167,1327,206.75294158176033,290.7248621069043
2099,19,0,333,130,22.123323326221147,31.108626915562656
2100,18,0,0,70,10.854344719507328,15.26279552637795
2101,18,0,440,389,62.91587698080707,88.46892102063197
2102,19,0,91,199,31.394402963700088,44.145120271195644
2103,19,0,328,827,130.17207599228175,183.04096934969166
2104,18,0,138,1259,196.03757270195723,275.65748692872114
2105,19,0,187,989,154.45999610027442,217.19333579361654
2106,19,0,3107,221,52.60519114141293,73.97058935989435
2107,19,0,31,948,147.1817915414516,206.95911614691394
2108,19,954.8160473704338,37,1574,244.2860557394291,343.5019077656036
2109,18,0,1,15,2.331832676672614,3.2788976456421324
2110,18,0,470,2098,328.0940001646959,461.348129928608
2111,19,0,96,1345,209.12504055552526,294.0603800529889
2112,19,0,44,120,18.867121365967055,26.529930919052507
2113,19,0,70,1869,290.2241205853187,408.0975428535712
2114,19,0,117,2376,369.117967039468,519.033824852711
2115,18,0,4,341,52.8997716521413,74.38481262417143
2116,18,229.36522832512856,65,215,33.72195274335463,47.4179955374923
2117,19,0,418,390,62.94110241053707,88.50439166266365
2118,19,389.68246188759804,22,746,115.80613893415533,162.84036161803013
2119,19,0,271,1298,202.86991482289585,285.2647588049067
2120,19,0,184,431,67.91765748301002,95.50215564194892
2121,19,0,71,59,9.567680217693134,13.453557132931167
2122,19,0,424,1153,181.28886984526466,254.91865452583588
2123,19,0,226,284,45.37140351672845,63.79882641612323
2124,19,0,344,236,38.62482079174944,54.312144788250414
2125,19,0,698,425,70.02074106818296,98.45939862297277
2126,19,0,61,477,74.32460774639787,104.51126437626232
2127,19,0,209,649,101.86872981464464,143.24232681669739
2128,19,0,768,675,109.19937449803933,153.55028494503122
2129,19,560.7767158746719,447,1505,236.00645588068548,331.8595799282427
2130,19,0,63,182,28.593101187744804,40.2060804379347
2131,19,0,335,1242,194.56414562966535,273.5856330574318
2132,19,0,45,405,63.06571224645364,88.67961130929528
2133,19,0,802,949,151.88703759342636,213.5753799793609
2134,19,0,70,30,5.064978597119054,7.1221003820134445
2135,19,0,62,910,141.4723846052714,198.93085530798993
2136,19,163.5384131371975,634,4,4.361904101342099,6.1334748549865115
2137,19,1228.667389422655,1021,715,116.89497852835328,164.3714292703593
2138,19,0,0,0,0,0
2139,19,0,67,213,33.42363193921079,46.99851287386094
2140,19,0,27,49,7.757386268094736,10.90801918390115
2141,21,40.5213320851326,11,170,26.42546978050642,37.158073782519025
2142,19,0,6,21,3.291713407949889,4.628630283565959
2143,19,0,6,23,3.6018375427929556,5.064710155748187
2144,19,0,178,445,70.05311643481377,98.50492312157189
2145,19,0,119,8,1.9427947159764616,2.731853397504973
2146,20,0,430,1297,203.6532175460631,286.3661969486087
2147,19,0,218,604,94.94405176882218,133.50521713107614
2148,19,0,211,241,38.6152096373583,54.29863010007391
2149,19,0,190,76,12.906033540463394,18.14776995525616
2150,19,1259.7619514763355,176,1000,156.1007605230655,219.50049044358906
2151,19,0,135,324,51.03683466677481,71.76525087070371
2152,19,0,943,150,28.824580537917015,40.53157424539668
2153,19,0,1350,0,7.96724822198037,11.203115771829303
2154,19,0,169,1016,158.54044194436273,222.93103919111888
2155,19,0,538,350,57.44681955562955,80.7786267320706
2156,20,0,16,474,73.5938466034006,103.48370737559469
2157,20,0,130,1400,217.8541108855965,306.3347290833647
2158,19,0,32,638,99.1184523061259,139.37503456294417
2159,19,0,118,2316,359.8201446595256,505.95972729151964
2160,20,0,137,1519,236.34780856620625,332.3395717081352
2161,19,2636.4064306914806,57,1632,253.39768895687033,356.31419614439676
2162,19,0,100,47,7.878083703773572,11.077737423825248
2163,20,0,52,1231,191.18829159408742,268.8386887504831
2164,19,0,2303,0,13.59153530016355,19.111685646313248
2165,19,0,29,492,76.4616854665332,107.5163080808153
2166,19,0,230,0,1.3573830304114705,1.9086789833486961
2167,19,0,1680,19,12.86097706836248,18.084413968452065
2168,19,0,339,361,57.97807089269302,81.52564377826245
2169,19,0,488,786,124.7587976839373,175.42910865402465
2170,19,0,66,1688,262.13427972062277,368.59912000397804
2171,19,0,120,787,122.74204690270048,172.59326221675786
2172,19,0,42,606,94.21548280213298,132.48074265078284
2173,19,0,794,1,4.840984355015914,6.80713173078183
2174,19,0,100,0,0.590166534961509,0.8298604275429114
2175,19,0,3071,808,143.4141647652668,201.66128209146254
2176,19,1497.6992500424385,311,641,101.2302031409331,142.3444649640622
2177,19,0,178,1263,196.89388758562797,276.86159084410275
2178,19,0,121,409,64.13448708271054,90.18246497859238
2179,19,0,490,1330,209.12436569195063,294.0594310961413
2180,19,0,4241,602,118.3763273354806,166.45442225894521
2181,19,0,324,971,152.47740703958408,214.4055257297103
2182,19,0,30,824,127.94819351583185,179.9138654673404
2183,19,0,28,523,81.26270789125111,114.26724749536439
2184,19,0,13,354,54.968693516767765,77.29401923183477
2185,19,0,447,543,86.8367470211705,122.10516140859147
2186,19,0,32,307,47.79290798959839,67.2038157167856
2187,19,0,53,275,42.95485680445124,60.400808451653965
2188,19,0,22,826,128.21110432787802,180.28355650531927
2189,19,0,191,1988,309.39060811578463,435.04842636574074
2190,19,0,677,1219,193.01608762853846,271.40883718953296
2191,19,299.9618370234966,628,712,114.11043784368995,160.45595798184232
2192,19,0,387,582,92.53006772963339,130.11080265961914
2193,19,0,162,754,117.87286862247372,165.74648570531915
2194,19,0,103,878,136.75236672711654,192.29382012836686
2195,19,0,43,460,71.58232262393875,100.6552105857557
2196,19,71.79122850298882,316,1439,224.99924127006472,316.381826986148
2197,19,0,283,330,52.84065354304704,74.3016839200139
2198,19,0,335,1,2.132119959542588,2.9980723683598662
2199,19,0,569,14,5.528916527832451,7.774464937994756
2200,19,397.58561623096466,72,246,38.57018849086947,54.235323786244834
2201,19,0,149,890,138.88458814225723,195.29203515812998
2202,19,0,394,109,19.227021496695468,27.036003118450445
2203,19,0,645,745,119.32781437954401,167.79235214553137
2204,19,1053.5908198654652,345,818,128.87684569643142,181.21968619755393
2205,19,0,567,1563,245.70825563308824,345.50172873457876
2206,19,0,397,1573,246.255593197869,346.271365368667
2207,19,0,500,905,143.28200369129513,201.4754443001723
2208,19,0,1983,111,28.914891872076915,40.65856518428954
2209,19,0,49,901,140.0001043489326,196.86061402758935
2210,19,0,28,709,110.10425243165629,154.8226756083115
2211,19,0,20,359,55.785315511322736,78.44230914221833
2212,19,0,234,527,83.09869922295795,116.84891972046724
2213,19,0,221,438,69.22145357289651,97.33548355277757
2214,19,0,288,629,99.23372002883356,139.537117832634
2215,19,0,297,593,93.7046005898049,131.76236757183275
2216,19,0,58,571,88.88273708797315,124.98212255600072
2217,19,0,25,310,48.216782534415685,67.79984529513092
2218,19,0,333,457,72.82861937306252,102.40768601735678
2219,19,0,35,389,60.52570251421296,85.10798628908319
