orig_taz,dest_taz,purpose,attraction_district,attraction_taz,observed_trips,distance,estimated,category
77,3308,IX,8,77,8.326430916786194,14.5248,11.855369355,Freeway
77,3309,IX,8,77,15.145129680633545,16.4266,6.564712111,Non-freeway
77,3311,IX,8,77,4.537018358707428,19.4947,1.6660091257,Non-freeway
77,3313,IX,8,77,18.97216784954071,21.9889,18.801365936,Freeway
77,3317,IX,8,77,1.1067571640014648,19.5252,0.4691447258,Non-freeway
84,3235,IX,37,84,12.497876763343811,39.154,0.2980501091,Non-freeway
84,3237,IX,37,84,1.9721425771713257,43.9374,0.10914048867,Non-freeway
84,3242,IX,37,84,1.0947288274765015,48.3825,0.07468916576,Non-freeway
84,3245,IX,37,84,0.8112057447433472,39.2085,0.15242040932,Non-freeway
84,3252,IX,37,84,94.54779890179634,29.9648,2.4472241781,Freeway
84,3257,IX,37,84,1.893839716911316,38.1347,0.7402355574,Non-freeway
84,3273,IX,37,84,48.924339294433594,47.9581,0.6781188172,Freeway
84,3274,IX,37,84,1.9933998584747314,48.5202,0.05337185918,Non-freeway
84,3277,IX,37,84,40.96983587741852,49.9455,0.6532531447,Freeway
84,3289,IX,37,84,7.8810319900512695,52.9967,0.48088752659999995,Non-freeway
84,3295,IX,37,84,18.664902925491333,50.3649,0.2883186717,Non-freeway
84,3298,IX,37,84,35.71758460998535,51.08,0.6436247311,Freeway
84,3299,IX,37,84,2.489285469055176,50.3782,0.1437272007,Non-freeway
84,3305,IX,37,84,8.521007657051086,38.7098,1.477797596,Freeway
84,3306,IX,37,84,52.548667907714844,34.0328,0.3832000892,Non-freeway
84,3308,IX,37,84,80.25302696228027,28.7229,4.504873576,Freeway
84,3311,IX,37,84,2.402195453643799,39.0846,0.1670957355,Non-freeway
84,3313,IX,37,84,52.01470947265625,41.5788,2.4239292686000002,Freeway
84,3318,IX,37,84,7.695146560668945,28.4775,0.4240070224,Non-freeway
84,3322,IX,37,84,7.201528549194336,37.0924,0.35139664764,Non-freeway
84,3323,IX,37,84,320.4699577242136,35.3027,8.537316889,Freeway
84,3328,IX,37,84,1.449118971824646,36.6429,0.15336311882,Non-freeway
92,3235,IX,10,92,4.561035990715027,27.4644,1.0014727909999999,Non-freeway
92,3237,IX,10,92,9.152746617794037,32.3669,0.6813088799,Non-freeway
92,3242,IX,10,92,0.9472739696502686,36.8121,0.4555396302,Non-freeway
92,3243,IX,10,92,5.982517719268799,32.3724,0.3369737855,Non-freeway
92,3245,IX,10,92,2.160158634185791,27.638,0.9722420297600001,Non-freeway
92,3252,IX,10,92,62.00838840007782,21.1218,10.248756844999999,Freeway
92,3257,IX,10,92,1.436347246170044,32.4232,1.1824580899,Non-freeway
92,3277,IX,10,92,6.044711589813232,55.6451,0.4132922726,Freeway
92,3295,IX,10,92,4.762027382850647,61.587,0.10941022692,Non-freeway
