TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE
548,Internal,207,626,76667,56,6.9,17.9,0,0,0,626,47,3,14,0,0,67,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
549,Internal,7,13,76667,56,6.9,17.9,0,0,0,13,108,15,17,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Internal,0,0,76667,56,6.9,17.9,0,0,0,0,131,29,12,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Internal,0,0,55727,56,28.3,7.9,0,0,0,0,0,0,106,73,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Internal,1,4,55727,56,28.3,7.9,0,0,0,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Internal,300,639,55727,56,28.3,7.9,0,0,0,639,19,75,40,0,3,94,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
554,Internal,1,1,58190,50,22,12,0,0,0,1,183,265,0,3,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,Internal,84,103,55727,56,28.3,7.9,0,0,0,103,0,2,19,0,21,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
556,Internal,3,5,55727,56,28.3,7.9,0,0,0,5,11,45,156,45,310,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,Internal,1,3,55727,56,28.3,7.9,0,0,0,3,123,306,342,7,20,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,Internal,14,32,55727,56,28.3,7.9,0,0,0,32,29,51,425,94,382,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Internal,4,7,58190,50,22,12,0,0,0,7,6,204,41,38,0,59,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,Internal,0,0,55727,56,28.3,7.9,0,0,0,0,146,497,147,5,47,61,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0
561,Internal,0,0,58190,50,22,12,0,0,0,0,15,135,149,17,18,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,Internal,231,465,58190,50,22,12,0,0,0,465,167,149,194,41,40,73,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0
563,Internal,0,0,58190,50,22,12,0,0,0,0,75,1310,38,34,38,83,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
564,Internal,0,0,58190,50,22,12,0,0,0,0,21,2598,136,0,5,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,Internal,0,0,58190,50,22,12,0,0,0,0,17,630,165,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Internal,0,0,76667,56,6.9,17.9,0,0,0,0,270,624,45,0,7,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,Internal,2,3,58190,50,22,12,0,0,0,3,3,662,63,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0
568,Internal,0,0,58190,50,22,12,0,0,0,0,58,8721,14,4,74,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,Internal,0,0,58190,50,22,12,0,0,0,0,30,291,42,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,Internal,0,0,58190,50,22,12,0,0,0,0,0,3030,34,107,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,Internal,0,0,58190,50,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Internal,356,687,58190,50,22,12,0,0,0,687,0,11,21,0,0,85,0,0,0,0,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0
573,Internal,0,0,58190,50,22,12,0,0,0,0,0,304,3,0,6,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,Internal,71,154,77485,72,9.3,3.6,0,0,0,154,439,847,446,26,70,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Internal,0,0,58190,50,22,12,0,0,0,0,0,2202,83,0,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,Internal,0,0,58190,50,22,12,0,0,0,0,661,121,72,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0
577,Internal,257,444,77485,72,9.3,3.6,0,0,0,444,0,10,9,15,16,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
578,Internal,0,0,58190,50,22,12,0,0,0,0,112,2655,100,40,40,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
