Person_ID,On_campus,Graduate,Have_car,Have_parking_permit,Start_PlaceID,Start_PlaceType,End_PlaceID,End_PlaceType,TAZ_o,TAZ_d,Origin_PA,Destination_PA,TAZ_P,TAZ_A,Trip_Purpose,UHC,UHO,UCO,UC1,UOO,UCC,Campus_TAZ_A,Campus_TAZ_P,Purpose,Primary_Mode,Bicycle,Bus,Car,Carpool,Walk,Other,distance_miles,distance_zonetozone,Weight,Bicycle_W,Bus_W,Car_W,Carpool_W,Walk_W,Other_W
1034,1,0,No,No,1034005,North Carolina State University,1034006,North Carolina State University,3056,3056,P,A,3056,3056,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Recreational / Social / Community Service / Personal,Walk,0,0,0,0,1,0,0.14858488025346414,0.289656,63.6818,0,0,0,0,63.6818,0
1034,1,0,No,No,1034006,North Carolina State University,1034007,North Carolina State University,3056,3055,P,A,3056,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.3675131833458041,0.464153,63.6818,0,0,0,0,63.6818,0
1034,1,0,No,No,1034007,North Carolina State University,1034008,North Carolina State University,3055,3054,P,A,3055,3054,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Dining / Shopping,Walk,0,0,0,0,1,0,0.3087017315489604,1.068755,63.6818,0,0,0,0,63.6818,0
1034,1,0,No,No,1034008,North Carolina State University,1034009,North Carolina State University,3054,3054,P,A,3054,3054,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Recreational / Social / Community Service / Personal,Walk,0,0,0,0,1,0,0.042296266748809645,0.261939,63.6818,0,0,0,0,63.6818,0
1034,1,0,No,No,1034009,North Carolina State University,1034010,North Carolina State University,3054,3056,P,A,3054,3056,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Recreational / Social / Community Service / Personal,Walk,0,0,0,0,1,0,0.05067605070360771,0.437193,63.6818,0,0,0,0,63.6818,0
1035,0,1,Yes,No,1035000,North Carolina State University,1035001,North Carolina State University,1501,3056,P,A,1501,3056,UC1,0,0,0,1,0,0,NCSU_Main,NA,Attend Classes / Study / Research,Bicycle,1,0,0,0,0,0,0.5272366802157967,0.905502,52.304878,52.304878,0,0,0,0,0
1035,0,1,Yes,No,1035001,North Carolina State University,1035002,Off-campus Workplace,3056,1498,P,A,3056,1498,UCO,0,0,1,0,0,0,NA,NCSU_Main,Dining / Shopping,Walk,0,0,0,0,1,0,0.16892810470287256,0.429811,52.304878,0,0,0,0,52.304878,0
1035,0,1,Yes,No,1035002,Off-campus Workplace,1035003,North Carolina State University,1498,3056,A,P,3056,1498,UCO,0,0,1,0,0,0,NA,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.17597729331773262,0.429811,52.304878,0,0,0,0,52.304878,0
1036,0,1,Yes,Yes,1036000,Home,1036001,Other,1440,1423,P,A,1440,1423,UHO,0,1,0,0,0,0,NA,NA,Recreational / Social / Community Service / Personal,Car,0,0,1,0,0,0,0.3345557864043669,0.727499,52.304878,0,0,52.304878,0,0,0
1036,0,1,Yes,Yes,1036001,Other,1036002,Home,1423,1442,A,P,1442,1423,UHO,0,1,0,0,0,0,NA,NA,Go home,Car,0,0,1,0,0,0,0.2906318813800393,0.521504,52.304878,0,0,52.304878,0,0,0
1036,0,1,Yes,Yes,1036002,Home,1036003,Off-campus Workplace,1442,2175,P,A,1442,2175,UHO,0,1,0,0,0,0,NA,NA,Work,Car,0,0,1,0,0,0,10.000152313114281,12.07358,52.304878,0,0,52.304878,0,0,0
1036,0,1,Yes,Yes,1036003,Off-campus Workplace,1036004,North Carolina State University,2175,3055,A,P,3055,2175,UCO,0,0,1,0,0,0,NA,NCSU_Main,Attend Classes / Study / Research,Car,0,0,1,0,0,0,8.313146391286017,8.959447,52.304878,0,0,52.304878,0,0,0
1036,0,1,Yes,Yes,1036004,North Carolina State University,1036005,Home,3055,1442,A,P,1442,3055,UHC,1,0,0,0,0,0,NCSU_Main,NA,Go home,Car,0,0,1,0,0,0,1.7156948307427597,1.618667,52.304878,0,0,52.304878,0,0,0
1037,0,0,Yes,Yes,1037000,Home,1037001,North Carolina State University,1644,3040,P,A,1644,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NA,Attend Classes / Study / Research,Car,0,0,1,0,0,0,1.2521144561267985,2.614348,174.3768,0,0,174.3768,0,0,0
1037,0,0,Yes,Yes,1037001,North Carolina State University,1037002,North Carolina State University,3040,3054,P,A,3040,3054,UCC,0,0,0,0,0,1,NCSU_Main,NCSU_Centennial,Attend Classes / Study / Research,Car,0,0,1,0,0,0,0.4576980177743241,1.997191,174.3768,0,0,174.3768,0,0,0
1037,0,0,Yes,Yes,1037002,North Carolina State University,1037003,Other,3054,1623,P,A,3054,1623,UCO,0,0,1,0,0,0,NA,NCSU_Main,Other-- RCIA,Car,0,0,1,0,0,0,1.4460588937153673,2.364403,174.3768,0,0,174.3768,0,0,0
1037,0,0,Yes,Yes,1037003,Other,1037004,Home,1623,1644,A,P,1644,1623,UHO,0,1,0,0,0,0,NA,NA,Go home,Car,0,0,1,0,0,0,0.4546909370320122,2.346803,174.3768,0,0,174.3768,0,0,0
1038,0,1,No,No,1038000,Home,1038001,North Carolina State University,1651,3055,P,A,1651,3055,UHC,1,0,0,0,0,0,NCSU_Main,NA,Attend Classes / Study / Research,Bus,0,1,0,0,0,0,1.0060249657514262,1.654323,66.4210526,0,66.4210526,0,0,0,0
1038,0,1,No,No,1038001,North Carolina State University,1038002,North Carolina State University,3055,3040,P,A,3055,3040,UCC,0,0,0,0,0,1,NCSU_Centennial,NCSU_Main,Work,Bus,0,1,0,0,0,0,0.3844365054903268,2.565725,66.4210526,0,66.4210526,0,0,0,0
1038,0,1,No,No,1038002,North Carolina State University,1038003,North Carolina State University,3040,3056,P,A,3040,3056,UCC,0,0,0,0,0,1,NCSU_Main,NCSU_Centennial,Attend Classes / Study / Research,Bus,0,1,0,0,0,0,0.448777319049224,2.431451,66.4210526,0,66.4210526,0,0,0,0
1038,0,1,No,No,1038003,North Carolina State University,1038004,Home,3056,1651,A,P,1651,3056,UHC,1,0,0,0,0,0,NCSU_Main,NA,Go home,Bus,0,1,0,0,0,0,1.0828857166287391,1.711009,66.4210526,0,66.4210526,0,0,0,0
1040,0,0,Yes,Yes,1040000,Home,1040001,North Carolina State University,186,1648,P,A,186,1648,UHC,1,0,0,0,0,0,NA,NA,Other-- Wait for bus,Car,0,0,1,0,0,0,15.746228015352736,23.451567,174.3768,0,0,174.3768,0,0,0
1040,0,0,Yes,Yes,1040001,North Carolina State University,1040002,North Carolina State University,1648,1498,P,A,1648,1498,UC1,0,0,0,1,0,0,NA,NA,Dining / Shopping,Bicycle,1,0,0,0,0,0,1.2826068006896385,1.686149,174.3768,174.3768,0,0,0,0,0
1040,0,0,Yes,Yes,1040002,North Carolina State University,1040003,North Carolina State University,1498,3056,P,A,1498,3056,UC1,0,0,0,1,0,0,NCSU_Main,NA,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.06418615994345987,0.429811,174.3768,0,0,0,0,174.3768,0
1040,0,0,Yes,Yes,1040003,North Carolina State University,1040004,North Carolina State University,3056,3055,P,A,3056,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.2081520698265995,0.464153,174.3768,0,0,0,0,174.3768,0
1040,0,0,Yes,Yes,1040004,North Carolina State University,1040005,North Carolina State University,3055,1648,P,A,3055,1648,UC1,0,0,0,1,0,0,NA,NCSU_Main,Go home,Bus,0,1,0,0,0,0,1.115634731880115,1.06438,174.3768,0,174.3768,0,0,0,0
1040,0,0,Yes,Yes,1040005,North Carolina State University,1040006,Home,1648,186,A,P,186,1648,UHC,1,0,0,0,0,0,NA,NA,Go home,Car,0,0,1,0,0,0,15.724874091913135,21.696083,174.3768,0,0,174.3768,0,0,0
1040,0,0,Yes,Yes,1040006,Home,1040007,Off-campus Workplace,186,650,P,A,186,650,UHO,0,1,0,0,0,0,NA,NA,Work,Car,0,0,1,0,0,0,5.280647237479987,5.762518,174.3768,0,0,174.3768,0,0,0
1040,0,0,Yes,Yes,1040007,Off-campus Workplace,1040008,Home,650,186,A,P,186,650,UHO,0,1,0,0,0,0,NA,NA,Go home,Car,0,0,1,0,0,0,5.253709142374088,5.748558,174.3768,0,0,174.3768,0,0,0
1041,0,1,Yes,Yes,1041000,Home,1041001,North Carolina State University,2585,3056,P,A,2585,3056,UHC,1,0,0,0,0,0,NCSU_Main,NA,Attend Classes / Study / Research,Car,0,0,1,0,0,0,8.20023385582667,12.104734,52.304878,0,0,52.304878,0,0,0
1041,0,1,Yes,Yes,1041001,North Carolina State University,1041002,Home,3056,2652,A,P,2652,3056,UHC,1,0,0,0,0,0,NCSU_Main,NA,Go home,Car,0,0,1,0,0,0,9.09508745042742,10.761045,52.304878,0,0,52.304878,0,0,0
1043,0,1,No,No,1043000,Home,1043001,North Carolina State University,1650,3040,P,A,1650,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NA,Work,Bus,0,1,0,0,0,0,0.7126584319589305,2.02381,52.304878,0,52.304878,0,0,0,0
1043,0,1,No,No,1043001,North Carolina State University,1043002,Home,3040,1650,A,P,1650,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NA,Go home,Bus,0,1,0,0,0,0,0.7193187136142213,2.02381,52.304878,0,52.304878,0,0,0,0
1044,1,0,Yes,Yes,1044000,Home,1044001,North Carolina State University,3052,3056,P,A,3052,3056,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.6848023100444811,0.93293,63.6818,0,0,0,0,63.6818,0
1044,1,0,Yes,Yes,1044001,North Carolina State University,1044002,North Carolina State University,3056,3055,P,A,3056,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Other-- Campus Organization meeting,Walk,0,0,0,0,1,0,0.47092807349271665,0.464153,63.6818,0,0,0,0,63.6818,0
1044,1,0,Yes,Yes,1044002,North Carolina State University,1044003,Home,3055,3058,A,P,3058,3055,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Main,Go home,Walk,0,0,0,0,1,0,0.2774322640024614,0.512701,63.6818,0,0,0,0,63.6818,0
1044,1,0,Yes,Yes,1044003,Home,1044004,Other,3058,1600,P,A,3058,1600,UHO,0,1,0,0,0,0,NA,NCSU_Main,Dining / Shopping,Carpool,0,0,0,1,0,0,1.6363266755027472,3.358398,63.6818,0,0,0,63.6818,0,0
