TAZ,MPO,COUNTY,D_Minority,C_Race,C_Hispanic,ZeroCar,LowIncome,Senior,LEP,AllZones
363,DCHC,Durham,0,0,0,0,1,0,0,1
364,DCHC,Durham,0,0,0,0,1,0,0,1
365,DCHC,Durham,0,0,0,0,0,1,0,1
366,DCHC,Durham,0,0,0,0,0,0,0,1
367,DCHC,Durham,0,0,0,0,0,0,0,1
368,DCHC,Durham,0,0,0,0,0,0,0,1
369,DCHC,Durham,0,0,0,0,0,0,0,1
370,DCHC,Durham,0,0,0,0,0,0,0,1
371,DCHC,Durham,0,0,0,0,0,0,0,1
372,DCHC,Durham,0,0,0,1,0,1,0,1
373,DCHC,Durham,0,0,0,0,0,1,0,1
374,DCHC,Durham,0,0,0,0,0,1,0,1
375,DCHC,Durham,0,0,0,0,1,1,0,1
376,DCHC,Durham,0,0,0,0,1,1,0,1
377,DCHC,Durham,0,0,0,0,1,1,0,1
378,DCHC,Durham,0,0,0,0,1,1,0,1
379,DCHC,Durham,0,0,0,0,1,1,0,1
380,DCHC,Durham,0,0,0,0,1,1,0,1
381,DCHC,Durham,1,0,0,0,0,0,1,1
382,DCHC,Durham,1,0,0,1,1,0,0,1
383,DCHC,Durham,1,0,0,0,0,0,1,1
384,DCHC,Durham,1,0,0,0,0,0,0,1
385,DCHC,Durham,1,0,0,0,0,0,1,1
386,DCHC,Durham,1,0,0,0,0,0,1,1
387,DCHC,Durham,1,0,0,0,0,1,0,1
388,DCHC,Durham,1,0,0,1,1,0,0,1
389,DCHC,Durham,1,0,0,1,1,0,1,1
390,DCHC,Durham,1,0,0,0,0,1,1,1
391,DCHC,Durham,1,0,0,1,1,0,0,1
392,DCHC,Durham,1,0,0,1,1,0,1,1
393,DCHC,Durham,1,0,0,1,1,0,1,1
394,DCHC,Durham,0,0,0,0,0,1,0,1
395,DCHC,Durham,0,0,0,0,0,1,0,1
396,DCHC,Durham,0,0,0,0,0,1,0,1
397,DCHC,Durham,1,0,0,1,1,0,1,1
398,DCHC,Durham,0,0,0,1,1,0,1,1
399,DCHC,Durham,0,0,0,1,1,0,0,1
400,DCHC,Durham,0,0,0,1,1,0,1,1
401,DCHC,Durham,1,0,0,1,1,0,0,1
402,DCHC,Durham,1,0,0,1,1,0,0,1
403,DCHC,Durham,0,0,0,0,1,0,0,1
404,DCHC,Durham,0,0,0,0,1,0,0,1
405,DCHC,Durham,1,0,0,0,0,0,1,1
406,DCHC,Durham,1,0,0,0,1,0,1,1
407,DCHC,Durham,1,0,0,0,1,0,1,1
408,DCHC,Durham,1,0,0,1,1,0,1,1
409,DCHC,Durham,1,0,0,0,1,1,0,1
410,DCHC,Durham,1,0,0,1,1,0,1,1
411,DCHC,Durham,1,0,0,1,1,0,1,1
412,DCHC,Durham,1,0,0,0,0,0,1,1
413,DCHC,Durham,1,0,0,0,0,0,1,1
414,DCHC,Durham,1,0,0,1,1,0,1,1
415,DCHC,Durham,1,0,0,1,1,0,1,1
416,DCHC,Durham,1,0,0,0,1,1,0,1
417,DCHC,Durham,1,0,0,0,1,1,0,1
418,DCHC,Durham,1,0,0,0,1,1,0,1
419,DCHC,Durham,0,0,0,0,0,0,0,1
420,DCHC,Durham,0,0,0,0,0,0,0,1
421,DCHC,Durham,1,0,0,0,0,0,1,1
422,DCHC,Durham,1,0,0,1,0,0,1,1
423,DCHC,Durham,1,0,0,0,0,0,1,1
424,DCHC,Durham,1,0,0,0,1,0,0,1
425,DCHC,Durham,1,0,0,0,1,0,0,1
426,DCHC,Durham,1,0,0,0,1,0,0,1
427,DCHC,Durham,1,0,0,0,1,0,1,1
428,DCHC,Durham,1,0,0,0,1,0,1,1
429,DCHC,Durham,0,0,0,0,0,1,1,1
430,DCHC,Durham,0,0,0,0,0,1,1,1
431,DCHC,Durham,0,0,0,0,0,0,0,1
432,DCHC,Durham,0,0,0,0,0,0,0,1
433,DCHC,Durham,0,0,0,0,0,0,0,1
434,DCHC,Durham,0,0,0,0,0,0,0,1
435,DCHC,Durham,0,0,0,0,0,1,1,1
436,DCHC,Durham,0,0,0,0,0,0,0,1
437,DCHC,Durham,1,0,0,0,0,0,0,1
438,DCHC,Durham,1,0,0,0,0,0,0,1
439,DCHC,Durham,1,0,0,0,0,0,0,1
440,DCHC,Durham,1,0,0,0,0,0,1,1
441,DCHC,Durham,1,0,0,0,0,1,1,1
442,DCHC,Durham,1,0,0,0,1,0,1,1
443,DCHC,Durham,1,0,0,0,0,0,0,1
444,DCHC,Durham,0,0,0,0,0,0,0,1
445,DCHC,Durham,0,0,0,0,0,1,0,1
446,DCHC,Durham,0,0,0,0,0,1,0,1
447,DCHC,Durham,0,0,0,0,0,0,0,1
448,DCHC,Durham,0,0,0,0,0,1,0,1
449,DCHC,Durham,0,0,0,0,0,0,0,1
450,DCHC,Durham,0,0,0,0,0,0,0,1
451,DCHC,Durham,0,0,0,0,0,0,0,1
452,DCHC,Durham,0,0,0,1,0,0,1,1
453,DCHC,Durham,0,0,0,0,0,0,0,1
454,DCHC,Durham,0,0,0,0,0,0,0,1
455,DCHC,Durham,0,0,0,0,0,0,1,1
456,DCHC,Durham,0,0,0,0,0,0,1,1
457,DCHC,Durham,0,0,0,0,0,0,0,1
458,DCHC,Durham,0,0,0,0,0,0,0,1
459,DCHC,Durham,0,0,0,0,0,1,0,1
460,DCHC,Durham,0,0,0,0,0,0,0,1
461,DCHC,Durham,0,0,0,0,0,1,0,1
462,DCHC,Durham,0,0,0,0,0,1,0,1
463,DCHC,Durham,0,0,0,0,0,1,0,1
464,DCHC,Durham,0,0,0,0,0,1,0,1
465,DCHC,Durham,0,0,0,0,0,0,0,1
466,DCHC,Durham,0,0,0,0,0,1,0,1
467,DCHC,Durham,0,0,0,0,0,1,0,1
468,DCHC,Durham,0,0,0,0,0,1,0,1
469,DCHC,Durham,0,0,0,0,0,1,0,1
470,DCHC,Durham,0,0,0,0,0,1,0,1
471,DCHC,Durham,0,0,0,0,0,1,0,1
472,DCHC,Durham,0,0,0,0,0,0,0,1
473,DCHC,Durham,0,0,0,0,0,1,1,1
474,DCHC,Durham,0,0,0,0,0,0,0,1
475,DCHC,Durham,0,0,0,0,0,0,0,1
476,DCHC,Durham,0,0,0,0,0,0,0,1
477,DCHC,Durham,0,0,0,0,0,1,0,1
478,DCHC,Durham,0,0,0,0,0,1,0,1
479,DCHC,Durham,0,0,0,0,0,0,0,1
480,DCHC,Durham,0,0,0,0,0,1,0,1
481,DCHC,Durham,0,0,0,0,0,1,0,1
482,DCHC,Durham,0,0,0,0,0,1,0,1
483,DCHC,Durham,0,0,0,0,0,0,0,1
484,DCHC,Durham,0,0,0,0,0,1,0,1
485,DCHC,Durham,0,0,0,0,0,0,0,1
486,DCHC,Durham,1,0,0,1,1,0,1,1
487,DCHC,Durham,1,0,0,1,1,0,1,1
488,DCHC,Durham,1,0,0,1,1,0,1,1
489,DCHC,Durham,1,0,0,1,1,0,1,1
490,DCHC,Durham,1,0,0,1,0,1,0,1
491,DCHC,Durham,1,0,0,1,1,1,0,1
492,DCHC,Durham,1,0,0,1,1,1,0,1
493,DCHC,Durham,1,0,0,0,0,0,1,1
494,DCHC,Durham,1,0,0,0,0,0,1,1
495,DCHC,Durham,0,0,0,0,0,0,0,1
496,DCHC,Durham,1,0,0,0,0,0,0,1
497,DCHC,Durham,1,0,0,0,1,0,0,1
498,DCHC,Durham,1,0,0,1,1,0,1,1
499,DCHC,Durham,1,0,0,0,0,0,0,1
500,DCHC,Durham,1,0,0,0,0,0,0,1
501,DCHC,Durham,0,0,0,0,0,1,0,1
502,DCHC,Durham,0,0,0,0,0,0,0,1
503,DCHC,Durham,0,0,0,0,0,0,0,1
504,DCHC,Durham,0,0,0,0,0,0,0,1
505,DCHC,Durham,0,0,0,0,0,0,0,1
506,DCHC,Durham,0,0,0,0,0,1,0,1
507,DCHC,Durham,0,0,0,0,0,1,0,1
508,DCHC,Durham,0,0,0,0,0,0,0,1
509,DCHC,Durham,0,0,0,0,0,0,0,1
