route,access,mode,tod,On,Off,DriveAccessOn,WalkAccessOn,DirectTransferOn,WalkTransferOn,DirectTransferOff,WalkTransferOff,EgressOff,rts_name
150,All,All,Daily,530.705,530.705,6.60189,273.411,250.693,0,451.801,1.97561,76.9286,CAT 2 IB:Extra Headway
151,All,All,Daily,1218.03,1218.03,27.3681,547.041,580.605,63.0129,369.233,39.8454,808.948,CAT 2-8:FallsOfNeuse-SixFrksSta
152,All,All,Daily,651.718,651.718,1.18536,225.1,320.319,105.113,142.395,11.5584,497.765,CAT 12-10:Method-Bertie
153,All,All,Daily,715.056,715.056,4.14877,266.631,438.883,5.39268,297.81,3.35096,413.895,CAT 10-12:Bertie-Method
154,All,All,Daily,1381.84,1381.83,36.6955,1300.98,39.1517,5.00891,648.022,365.582,368.232,CAT R-LINE
155,All,All,Daily,23.2709,23.2709,0,20.3025,0,2.96844,0,1.4516,21.8193,DUKE LaSalle Loop
156,All,All,Daily,966.323,966.323,42.2181,727.778,152.328,43.9991,85.0835,201.178,680.061,DATA BCC WB:Golden Belt-Duke
157,All,All,Daily,1100.16,1100.16,38.6821,992.086,65.6425,3.7458,201.551,333.002,565.603,DATA BCC EB:Duke-Golden Belt
158,All,All,Daily,163.094,163.094,9.35502,131.338,22.4015,0,74.4308,9.14288,79.5204,DUKE H5 IB:HookPlaza-BroadSt
159,All,All,Daily,152.486,152.486,11.072,130.051,11.3627,0,87.2771,23.4922,41.7164,DUKE H6
160,All,All,Daily,0,0,0,0,0,0,0,0,0,DUKE C3 IB:EastCampus-ScienceDr
161,All,All,Daily,0.517673,0.517673,0,0,0,0.517673,0,0,0.517673,DUKE C3 OB
162,All,All,Daily,7.45062,7.45062,1.14374,6.30688,0,0,6.30688,0,1.14374,DUKE PR1 OB:BassettDr-Entry11
163,All,All,Daily,107.419,107.419,0,20.0806,87.338,0,57.7642,0,49.6543,NCSU 11:VillageLink
164,All,All,Daily,282.982,282.982,10.3232,69.6994,202.96,0,30.601,0,252.381,NCSU 10:Southside Circulator
165,All,All,Daily,1879.44,1879.44,7.77687,1506.91,364.753,0,408.484,62.3099,1408.65,NCSU 9:GreekVillage
166,All,All,Daily,2999.66,2999.66,25.7155,2384.92,508.37,80.6536,893.413,133.581,1972.67,NCSU 8:SoutheastLoop
167,All,All,Daily,1408.66,1408.66,47.3026,521.903,834.25,5.20768,78.6828,0,1329.98,NCSU 3:Engineering
168,All,All,Daily,537.851,537.852,200.99,102.887,164.484,69.4909,293.275,40.4465,204.13,TT 301 WB:Moore Sq-RTP
169,All,All,Daily,193.336,193.336,22.8668,56.5759,77.1428,36.7502,84.7126,2.97531,105.648,TT 300 WB:Moore Sq-RTP
170,All,All,Daily,71.348,71.348,0,3.55809,31.0398,36.7501,15.9057,27.5626,27.8798,TT 300md WB:Moore Sq-RTP
171,All,All,Daily,438.733,438.733,105.359,17.2285,226.823,89.323,158.294,34.3576,246.081,TT 305 OB:Moore Sq-Apex
172,All,All,Daily,1809.04,1809.04,61.9108,1132.64,214.119,400.371,448.875,80.6595,1279.51,NCSU 7:WolfVillage-BrooksHall
173,All,All,Daily,319.241,319.24,9.32159,256.015,31.8225,22.0811,170.435,1.08592,147.72,NCSU 2md EB
174,All,All,Daily,500.245,500.245,13.4137,415.993,48.757,22.0811,294.635,1.18035,204.43,NCSU 2 EB
175,All,All,Daily,699.337,699.337,20.7932,559.456,119.087,0,299.654,10.5843,389.098,NCSU 5:VarsityPL-DHLibrary
176,All,All,Daily,700.509,700.509,0,362.378,338.131,0,245.715,50.6112,404.183,CAT 16-3:RexHosp-Crabtree
177,All,All,Daily,771.093,771.093,8.15834,226.348,524.688,11.8981,215.035,3.31736,552.74,CAT 3-16:Crabtree-RexHosp
178,All,All,Daily,494.416,494.416,22.3571,132.452,339.607,0,29.2852,0,465.131,CAT 25L NB
179,All,All,Daily,338.01,338.01,0,274.691,63.3194,0,203.842,0,134.168,CAT 25L SB
180,All,All,Daily,129.686,129.686,0,7.26583,121.11,1.31001,58.5179,0,71.1677,TT 420 NB:Chap Hill-Hillsb
181,All,All,Daily,83.4492,83.4492,6.61533,76.8339,0,0,27.2605,25.7722,30.4166,TT 420 SB:Hillsb-Chap Hill
182,All,All,Daily,6.24373,6.24373,0,0,6.24373,0,6.24373,0,0,TT OCH OB: Ch Hill Conn
