avg_vehicles,veh0,veh1,veh2,veh3
0.89,0.304,0.5373,0.1164,0.0423
0.9,0.2991,0.5376,0.1211,0.0422
0.91,0.2943,0.5378,0.1259,0.042
0.92,0.2895,0.5378,0.1308,0.0419
0.93,0.2848,0.5378,0.1356,0.0418
0.94,0.2802,0.5377,0.1404,0.0417
0.95,0.2756,0.5375,0.1453,0.0416
0.96,0.2711,0.5373,0.1501,0.0415
0.97,0.2666,0.537,0.1549,0.0415
0.98,0.2622,0.5365,0.1598,0.0415
0.99,0.2578,0.5361,0.1646,0.0415
1,0.2535,0.5354,0.1695,0.0416
1.01,0.2492,0.5348,0.1743,0.0417
1.02,0.245,0.5341,0.1791,0.0418
1.03,0.2408,0.5333,0.184,0.0419
1.04,0.2367,0.5324,0.1888,0.0421
1.05,0.2326,0.5316,0.1936,0.0422
1.06,0.2286,0.5305,0.1984,0.0425
1.07,0.2246,0.5296,0.2031,0.0427
1.08,0.2207,0.5284,0.2079,0.043
1.09,0.2168,0.5272,0.2127,0.0433
1.1,0.213,0.526,0.2174,0.0436
1.11,0.2093,0.5246,0.2221,0.044
1.12,0.2055,0.5233,0.2268,0.0444
1.13,0.2019,0.5217,0.2315,0.0449
1.14,0.1982,0.5203,0.2361,0.0454
1.15,0.1946,0.5188,0.2407,0.0459
