"TAZ","access_nearby_sov","access_transit","access_walk","N_sov","N_hov2","N_hov3","N_walkbike","N_t","N_auto_pay","W_sov","W_hov2","W_hov3","W_walkbike","W_t","W_auto_pay"
1811,7.91745,0.00,0.244085,12.4664,9.7138,6.02117,6.19615,0.00,0.367824,8.70615,2.73633,2.37388,1.64391,0.00,0.0441526
1812,7.58948,0.00,0.0109769,44.6351,31.5714,19.7568,26.6395,0.00,1.10421,22.2193,7.01995,5.7483,5.42401,0.00,0.112732
1813,7.86418,0.00,0.00,163.393,100.42,62.3207,0.00,0.00,2.28118,200.263,64.4585,56.3744,39.0945,0.00,0.952993
1814,7.95435,0.00,0.00,108.803,62.3854,41.2467,0.00,0.00,1.36974,58.4636,19.4939,16.7324,13.7131,0.00,0.278843
1815,9.03059,1.20775,0.0494586,231.273,144.766,90.4645,158.906,0.858009,2.56219,311.249,87.6625,76.5539,38.0474,4.12475,1.6846
1816,8.79327,1.68182,0.152533,84.0228,47.1274,32.3562,67.35,0.390307,0.871105,35.0362,11.905,9.43465,11.2945,2.80941,0.18194
1817,7.94557,0.784415,0.729578,153.205,101.261,59.4972,149.117,2.27955,1.94643,165.576,50.0947,39.9547,39.4834,9.8692,0.880617
1818,8.56928,1.66026,1.25196,254.524,186.701,154.68,183.195,4.1661,5.07428,370.123,101.95,67.1943,45.5279,10.7757,1.0542
1819,8.71939,0.682247,1.04598,167.232,97.9955,65.1749,135.65,0.827033,1.95102,96.9801,29.1725,25.0811,16.6336,2.42858,0.519677
1820,8.06372,0.00,0.00,45.3877,31.8989,20.4211,0.00,0.00,1.01034,24.0316,7.51454,6.38094,4.93646,0.00,0.123314
1821,7.66528,0.00,0.00,19.6297,15.7172,9.61656,0.00,0.00,0.631517,13.4182,4.89188,3.6595,5.78705,0.00,0.0637495
1822,9.6363,1.01061,0.406839,147.95,84.8289,59.5873,102.751,0.278542,1.53079,71.7562,23.0473,20.203,13.7654,1.32781,0.368916
1823,8.61378,0.842819,1.0749,94.7812,64.4273,42.2459,68.2099,0.695774,1.92835,38.8011,12.3187,9.97198,9.99196,2.40338,0.208479
1824,8.46015,0.938258,0.599962,60.8334,35.1704,23.7587,52.5252,0.343987,0.693265,22.5295,7.38806,5.86846,6.66068,1.69283,0.11925
1825,8.41596,1.93011,1.42056,150.138,97.4097,63.017,108.972,1.18962,2.75996,87.247,26.9555,23.0178,16.8428,3.46607,0.465905
1826,7.40048,0.00,0.00,94.6523,54.1556,34.3764,0.00,0.00,0.958306,44.8259,14.32,11.6563,11.5076,0.00,0.215993
1827,7.44984,0.00,0.00,144.756,179.967,108.26,0.00,0.00,1.02784,69.4101,21.8792,18.2276,15.7897,0.00,0.335676
1828,7.57182,0.00,0.00,96.2737,72.6795,81.1748,0.00,0.00,2.04222,232.433,57.0205,27.278,8.63769,0.00,0.162892
1829,7.31232,0.00,0.00,30.3478,22.1023,13.6425,0.00,0.00,0.810807,18.3736,6.41216,5.09604,6.25559,0.00,0.0863737
1830,7.44165,0.00,0.00,34.8109,20.8827,13.459,0.00,0.00,0.521929,16.2456,5.27217,4.55583,3.4388,0.00,0.0760084
1831,7.32338,0.00,0.00,144.848,161.316,97.0422,0.00,0.00,1.00344,65.8062,22.1546,16.2337,25.3113,0.00,0.322613
1832,7.31363,0.00,0.00,35.4781,57.2528,33.8234,0.00,0.00,0.651953,34.3048,11.4613,9.50912,9.2152,0.00,0.16181
1833,7.32299,0.00,0.00,48.7879,53.5726,32.4995,0.00,0.00,0.508914,31.4173,9.39642,8.0451,5.40054,0.00,0.152597
1834,7.11607,0.00,0.00,64.453,77.6616,46.3574,0.00,0.00,0.822618,40.0009,13.5742,9.91979,15.7456,0.00,0.194788
1835,7.19277,0.00,0.00,147.478,190.317,114.133,0.00,0.00,1.6744,99.7788,35.3186,26.0587,41.7867,0.00,0.478995
1836,7.12913,0.00,0.00,129.67,109.538,66.3782,0.00,0.00,0.814704,78.9085,24.1374,19.714,17.8061,0.00,0.389756
1837,7.19538,0.00,0.00,122.489,128.382,77.5899,0.00,0.00,0.811501,60.491,23.3451,15.3954,36.0682,0.00,0.29561
1838,6.93218,0.00,0.00,22.3684,29.4789,17.4333,0.00,0.00,0.371975,13.6899,4.01806,3.46342,2.12844,0.00,0.0664969
1839,7.01334,0.00,0.00,69.3003,66.5718,40.0302,0.00,0.00,0.47912,35.3632,11.2397,8.86882,9.90696,0.00,0.17076
1840,7.43519,0.00,0.00,104.345,146.303,87.6315,0.00,0.00,0.73093,34.1293,10.1974,8.59633,6.30605,0.00,0.167884
1841,7.74205,0.00,0.00,86.938,94.577,58.5859,0.00,0.00,0.769227,56.4644,17.2764,15.0551,9.55314,0.00,0.271741
1842,7.49031,0.00,0.00,43.6853,60.3611,36.2345,0.00,0.00,0.528068,27.1051,8.92438,7.15637,7.87004,0.00,0.131179
1843,7.38947,0.00,0.00,188.794,178.545,103.516,0.00,0.00,0.971947,191.344,54.2921,46.2666,28.0203,0.00,0.953357
1844,7.55313,0.00,0.00,52.6036,91.2336,54.3168,0.00,0.00,0.716359,36.6903,11.6445,9.83761,8.03137,0.00,0.1774
1845,7.56987,0.00,0.00,150.02,129.547,78.4712,0.00,0.00,0.549838,111.895,31.9537,25.8238,21.5453,0.00,0.568606
1846,7.26867,0.00,0.00,125.462,141.684,85.8114,0.00,0.00,0.853644,78.437,24.842,19.6417,21.6312,0.00,0.387698
1847,7.3809,0.00,0.00,114.158,132.675,80.4443,0.00,0.00,0.710328,50.7474,15.2864,12.7537,10.0631,0.00,0.249356
1848,7.12315,0.00,0.00,20.4818,36.8908,21.3693,0.00,0.00,0.423728,19.948,6.04666,5.05905,3.98743,0.00,0.0978207
1849,7.16267,0.00,0.00,72.1958,60.9887,37.537,0.00,0.00,0.469439,40.0481,11.6428,9.94981,6.3066,0.00,0.198101
1850,7.05932,0.00,0.00,61.697,52.9185,32.7278,0.00,0.00,0.482285,32.3979,9.71842,8.29339,5.71238,0.00,0.157966
1851,6.67682,0.00,0.00,92.5227,64.9555,38.6049,0.00,0.00,0.54599,77.6283,23.6538,19.7419,15.9006,0.00,0.376392
1852,6.78465,0.00,0.00,63.1147,48.159,29.3282,0.00,0.00,0.403194,38.4923,11.1066,9.58568,5.58326,0.00,0.188353
1853,7.38704,0.00,0.00,129.424,106.289,64.648,0.00,0.00,0.720709,85.5893,25.3369,20.7823,17.3108,0.00,0.425369
1854,8.13002,0.00,0.00,74.9672,39.4963,26.1115,0.00,0.00,0.448153,18.9171,6.30148,4.97813,5.89594,0.00,0.0862643
1855,7.99688,0.00,0.00,33.924,24.4413,15.1261,0.00,0.00,0.574435,24.0862,8.03582,6.60552,6.65461,0.00,0.109555
1856,7.85392,0.00,0.00,77.6013,44.6765,29.0194,0.00,0.00,0.732031,32.4817,11.4245,8.74515,12.3841,0.00,0.15195
1857,8.6099,0.00,0.410611,134.528,104.875,55.8229,102.988,0.00,1.08845,143.835,47.2194,34.6573,52.2608,0.00,0.776471
1858,7.94519,0.00,0.00,133.647,67.569,44.6586,0.00,0.00,0.737662,35.7991,11.2325,9.38516,7.93259,0.00,0.166091
1859,8.05391,0.00,0.00,33.898,21.154,13.3953,0.00,0.00,0.416823,13.1128,4.15698,3.49562,2.91665,0.00,0.0602294
1860,7.83529,0.00,0.00,146.426,82.9571,53.1496,0.00,0.00,1.15197,59.8053,20.7438,16.2564,20.8582,0.00,0.279297
1861,7.58267,0.00,0.00,27.5673,23.4897,14.0617,0.00,0.00,0.7866,23.7259,10.1615,7.1021,15.3845,0.00,0.106371
1862,7.61858,0.00,0.00,36.5453,28.7161,17.5424,0.00,0.00,0.925798,29.0563,12.1194,8.21597,18.8868,0.00,0.134234
1863,8.53509,0.0408499,0.116251,95.5169,85.8343,96.308,56.4725,1.13035,1.5285,259.609,65.724,31.336,20.6297,6.0051,0.260953
1864,8.54001,0.789146,0.273797,95.7794,76.9633,47.9606,64.9931,1.43485,1.44975,92.3813,32.3306,24.8047,34.4677,9.70402,0.499919
1865,8.91628,1.82829,0.280858,81.6534,74.3017,46.5724,58.9713,1.75996,1.35421,49.1753,19.1844,13.6554,26.3143,8.44155,0.266662
1866,8.38286,0.00,0.579539,36.2172,28.4003,18.2523,27.9233,0.00,0.559657,21.0851,8.58041,7.1559,8.61153,0.00,0.090041
1867,9.67345,3.02141,1.12758,142.658,125.946,77.3013,61.5813,6.03351,2.26942,190.586,66.6504,58.0883,47.6956,12.0001,1.00478
1868,8.16177,0.00,0.00,68.7546,50.0212,32.1674,0.00,0.00,0.761403,30.0696,20.7366,9.09599,57.0484,0.00,0.133924
1869,8.65715,0.80008,0.467346,81.3777,74.0014,47.4083,74.3059,1.76625,1.45202,45.3525,20.0862,12.3823,36.5865,12.0872,0.243155
1870,8.05035,0.00,0.00,207.308,102.618,70.1915,0.00,0.00,0.744673,106.734,37.7371,28.271,43.19,0.00,0.50642
1871,8.56376,0.00,0.906466,254.274,143.437,97.7555,196.844,0.00,1.16945,119.852,36.5396,30.9811,22.9282,0.00,0.59001
1872,8.58689,0.00,1.0012,53.4217,69.9237,91.8872,66.9341,0.00,1.48536,185.158,52.9357,21.9324,41.9585,0.00,0.135958
1873,9.79471,3.62284,1.07883,165.28,158.538,90.0859,56.3053,16.1291,2.84447,299.412,91.902,80.7162,49.0552,18.3675,1.68927
1874,9.47065,3.48057,1.59848,187.462,177.237,105.32,81.9356,23.4396,4.0509,751.891,224.459,194.969,118.939,60.8711,4.37213
