"TAZ","access_nearby_sov","access_transit","access_walk","N_sov","N_hov2","N_hov3","N_walkbike","N_t","N_auto_pay","W_sov","W_hov2","W_hov3","W_walkbike","W_t","W_auto_pay"
2564,8.96107,3.37546,2.17102,126.803,113.702,65.759,87.9723,11.3903,2.60493,224.785,74.5682,62.9964,55.4696,25.7539,1.29857
2565,9.51942,3.28307,1.8824,150.64,140.798,83.3299,131.488,18.6597,2.25825,225.341,68.1806,57.1865,44.1844,24.3624,1.39318
2566,9.25887,3.26015,1.90801,141.625,109.606,68.331,72.0774,5.70105,1.81814,124.492,40.1168,34.6429,25.8942,11.4075,0.732536
2567,9.02774,2.91962,1.73143,227.196,162.998,94.6413,167.767,11.0532,2.82342,276.499,92.4569,76.7008,74.5069,26.4385,1.51499
2568,8.66944,2.54273,1.68186,151.803,87.7575,54.7231,133.461,3.44593,0.962894,96.3578,30.9285,24.5283,27.1661,10.66,0.559971
2569,9.30602,3.42168,1.61764,87.0749,99.7965,96.2936,35.1621,5.94905,2.09536,245.017,65.0369,38.1962,18.277,7.85084,0.452431
2570,9.05912,2.81202,0.987551,85.4144,88.3267,83.6146,40.2455,4.00508,1.6889,239.076,62.6475,36.0548,16.8516,6.06257,0.419551
2571,9.883,4.51058,2.27678,155.941,148.836,88.0318,152.05,24.2206,2.75057,253.1,81.003,64.38,70.456,37.6365,1.62861
2572,9.40667,3.69849,2.09061,51.416,55.9417,34.7519,68.5104,3.02555,0.977584,27.2856,14.856,7.56474,34.9285,13.69,0.1679
2573,9.19243,2.80689,1.66732,121.692,94.0846,55.9145,109.666,3.97437,1.12055,125.533,38.5191,30.7446,30.9813,12.3155,0.791869
2574,9.67288,4.40779,2.25563,95.9353,81.7224,49.489,83.3277,9.04616,1.52842,120.035,40.0731,32.0131,36.3867,17.7872,0.752631
2575,9.48638,4.05017,2.11332,40.7081,45.7545,28.4091,50.5051,2.42859,0.804262,20.0775,9.20472,5.334,18.2018,7.41852,0.125297
