"TAZ","Type","HH","HH_POP","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","Industry","Office","Service_RateLow","Service_RateHigh","Retail","PctHighEarn","StudGQ_NCSU","StudGQ_UNC","StudGQ_DUKE","StudGQ_NCCU","StudOff_NCSU","StudOff_UNC","StudOff_DUKE","StudOff_NCCU","BuildingS_NCSU","BuildingS_UNC","BuildingS_DUKE","BuildingS_NCCU","K12","CollegeOn","CollegeOff","Hospital","TraumaLevel","ParkDistrict","ParkCostW","ParkCostU","ParkCostO","EmpSpaces","StudSpaces","OtherSpaces","AWDT","PCTCV","PCTAUTOEE","PCTCVEE","TotalEmp","Density","AreaType","ATSmoothed","walkability_attr","gs_home_attr","gs_work_attr","gs_other_attr","gs_total_attr","GSIndex","ApproachDensity","walk_attr_dens","IndEmpDensity","ApproachDensity_z","IndEmpDensity_z","walk_attr_dens_z","GSIndex_z","Walkability","wHH","wK12","wStudGQ_NCSU","wStudGQ_UNC","wStudGQ_DUKE","wStudGQ_NCCU","wCollegeOn","wRetail","wTotalEmp","PctNearBusStop","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_employment_sov_attr","access_hospital_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_employment_sov","access_hospital_sov","access_transit_attr","access_transit"
2346,"Internal",130,372,123750,56,22.5000,23.8000,0,10,409,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,7,3344.26,"Suburban",1,2567.40,845,628.5,1964.90,3438.40,0.57963,0.00,9963.90,0.00,-0.282051,-0.252509,-0.228808,1.00324,0.125966,16.3756,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.881762,0.235294,2567.40,560.8,0.614788,419,0.00,12.0607,8.86182,1.31593,11.6568,0.00,560.8,0.564935
2347,"Internal",532,1615,110729,51,28.7000,7.9,0,15,13,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,6232.34,"Suburban",1,1128.60,3458.00,42,1125.60,4625.60,0.381829,14.9523,17290.81,0.00,-0.153919,-0.252509,-0.131346,-1.10228,0.103515,55.0701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1128.60,289.1,2.0675,28,0.00,12.1089,8.9187,1.95105,11.7678,0.00,289.1,0.00
2348,"Internal",489,1523,110729,51,28.7000,7.9,12,22,25,0,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,5562.70,"Urban",1,1302.00,3178.50,99,1260.20,4537.70,0.431746,20.2749,15333.53,40.5497,-0.108308,-0.195651,-0.157382,-0.570931,0.110018,53.799,0.00,0.00,0.00,0.00,0.00,0.00,0.770128,0.110018,0.00,1302.00,320.2,2.02537,66,0.00,12.0701,8.61619,1.46622,11.7438,0.00,320.2,0.00
2349,"Internal",317,648,110729,51,28.7000,7.9,339,66,84,19,56,53,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,10,3245.20,"Urban",1,3444.30,2060.50,849,2766.90,5676.40,0.608268,24.806,10831.46,646.865,-0.0694782,0.654509,-0.217268,1.30809,0.134512,42.6403,0.269024,0.00,0.00,0.00,0.00,0.00,7.53268,1.34512,0.00,3444.30,714.2,1.65694,564,0.00,12.0752,8.47906,1.40893,11.7836,0.00,714.2,0.00
2350,"Internal",294,706,110729,51,28.7000,7.9,0,179,0,15,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,5,6858.76,"Suburban",1,3648.60,1911.00,2760.00,1354.00,6025.00,0.639047,44.9502,38689.31,0.00,0.103145,-0.252509,0.153294,1.63571,0.153698,45.1872,252.987,0.00,0.00,0.00,0.00,0.00,0.00,0.768489,0.00,3648.60,254.5,2.99504,194,0.00,12.209,8.71971,1.43168,11.8461,0.00,254.5,0.00
2351,"Internal",774,1721,122083,52,22.0000,14.0000,3,26,35,26,310,57,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,7,6970.26,"Suburban",1,7696.20,5031.00,600,7163.80,12794.80,0.529702,25.4224,36141.67,8.47415,-0.064196,-0.240626,0.119405,0.471783,0.131536,101.809,0.00,0.00,0.00,0.00,0.00,0.00,40.7762,0.920752,0.212997,7696.20,1745.70,4.11837,400,0.00,12.0038,8.73373,1.40419,11.6389,0.00,1745.70,0.0976839
2352,"Internal",4,6,63750,56,14.3000,7.5,1061,1050,913,83,177,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,36,6294.91,"Suburban",1,15228.10,26,4926.00,13032.10,17984.10,0.399861,6.15584,18451.22,1088.56,-0.229299,1.27384,-0.115911,-0.910336,0.104971,0.419882,0.00,0.00,0.00,0.00,0.00,0.00,18.5798,3.77894,0.00126916,15228.10,2978.40,0.150709,3284.00,0.00,12.3272,8.986,0.00,11.9487,0.00,2978.40,0.00
2353,"Internal",5,13,122083,52,22.0000,14.0000,0,71,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,3134.27,"Suburban",1,1412.00,32.5,1296.00,300.6,1629.10,0.332685,0.00,35088.03,0.00,-0.282051,-0.252509,0.10539,-1.6254,0.100647,0.503236,79.8132,0.00,0.00,0.00,0.00,0.00,0.00,0.100647,0.00,1412.00,38,0.428574,71,0.00,12.1391,8.87422,1.62927,11.7359,0.00,38,0.00
2354,"Internal",536,1325,110729,51,28.7000,7.9,0,22,65,25,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,5193.52,"Suburban",1,1588.40,3484.00,168,1477.60,5129.60,0.454646,23.6985,17366.29,0.00,-0.0789688,-0.252509,-0.130342,-0.327162,0.114174,61.1974,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.114174,0.00,1588.40,387,2.29754,112,0.00,12.1934,8.79488,1.56688,11.8264,0.00,387,0.00
2355,"Internal",148,448,110729,51,28.7000,7.9,0,40,16,2,50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,3121.61,"Suburban",1,1437.00,962,162,1379.00,2503.00,0.544561,28.8334,12028.35,0.00,-0.0349659,-0.252509,-0.201347,0.62995,0.125897,18.6327,0.00,0.00,0.00,0.00,0.00,0.00,6.29484,0.251794,0.00,1437.00,320.6,0.745248,108,0.00,12.0117,8.62564,1.50957,11.7213,0.00,320.6,0.00
