taz,airport_productions,lng,lat,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,TraumaLevel,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE,dist_to_airport_miles,employment,workers,high_earners,high_earn_distance,observed_productions,estimated_productions
275,0,-78.89264782514894,35.98878413226948,Internal,205,313,21810,39,21.6,15.3,0,0,0,313,7,128,22,5,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.918186,166,122.07000000000001,15.869100000000001,331.9527854526,0,8.021463131860168
316,10,-78.93256198884926,36.002968909277605,Internal,135,261,58190,47,22,12,240,0,0,501,9,44,40,0,6,74,0,0,240,0,0,6,3,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,18.556787,99,122.66999999999999,90.77579999999999,1684.5071853545999,10.764373662609184,15.439636327604543
317,2,-78.94531000549867,36.01290504507791,Internal,915,1825,27697,43,26.8,6.4,0,7,69,1901,0,52,155,0,0,32,0,0,0,0,0,25,486,25,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,18.199444,207,784.75,251.12,4570.24437728,2.1528747325218367,34.91462781435558
319,2,-78.93539969415238,36.01079556314111,Internal,16,26,27697,43,26.8,6.4,0,0,0,26,4,473,618,86,0,23,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,18.057743,1181,11.18,2.5714,46.4336803502,2.1528747325218367,21.071150084787256
323,0,-78.9532280799126,36.0069326376012,Internal,406,932,30625,43,10.1,2.5,0,0,0,932,14,86,58,3,0,31,0,0,0,0,0,25,362,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.827072,161,400.76,124.23559999999999,2214.7569861632,0,20.260912366811176
324,2,-78.95093259443001,36.012971000043095,Internal,529,1015,30625,43,10.1,2.5,36,0,0,1051,11,29,49,256,53,20,0,0,0,0,0,19,493,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.028831,398,436.45,87.29,1573.7366579900001,2.1528747325218367,19.426409396742578
325,3,-78.94988195069874,36.00698415969887,Internal,405,836,30625,43,10.1,2.5,0,0,26,862,20,2,348,0,70,17,0,0,0,0,0,19,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.210701,440,359.48,61.11160000000001,1112.8850752316002,3.229312098782755,17.065344831839628
331,0,-78.89401094380186,36.08694929780716,Internal,568,1501,79500,51,25.8,15.8,0,0,0,1501,0,33,23,0,8,16,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.448835,64,765.51,122.4816,2872.050828936,0,16.80049992018242
334,0,-78.89859828793907,36.10219852652888,Internal,554,1273,75288,51,17.2,19.8,0,0,0,1273,19,23,56,4,5,2,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.566612,107,649.23,12.9846,280.0338301752,0,6.861032960167032
346,0,-78.9759085203185,36.07442815900354,Internal,212,532,90993,46,15.6,27.2,0,0,0,532,0,13,3,5,0,26,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92375,21,244.72,63.6272,1140.438026,0,11.44636091092429
