sourceTypeID,MOVEStype,hourDayID,hourID,dayID,TOD,avgSpeedBinID,DefaultFraction
11,2,202,20,2,NT,10,0.00869875
11,2,202,20,2,NT,11,0.0162455
11,2,202,20,2,NT,12,0.0371065
11,2,202,20,2,NT,13,0.0850357
11,2,202,20,2,NT,14,0.171447
11,2,202,20,2,NT,15,0.270542
11,2,202,20,2,NT,16,0.377328
11,2,212,21,2,NT,1,0.0030053
11,2,212,21,2,NT,2,0.00509381
11,2,212,21,2,NT,3,0.0031928
11,2,212,21,2,NT,4,0.00243363
11,2,212,21,2,NT,5,0.00218558
11,2,212,21,2,NT,6,0.00231773
11,2,212,21,2,NT,7,0.00291312
11,2,212,21,2,NT,8,0.00396797
11,2,212,21,2,NT,9,0.00572675
11,2,212,21,2,NT,10,0.00929102
11,2,212,21,2,NT,11,0.0182202
11,2,212,21,2,NT,12,0.0419907
11,2,212,21,2,NT,13,0.0937175
11,2,212,21,2,NT,14,0.183901
11,2,212,21,2,NT,15,0.274548
11,2,212,21,2,NT,16,0.347495
11,2,222,22,2,NT,1,0.00295497
11,2,222,22,2,NT,2,0.00501526
11,2,222,22,2,NT,3,0.00281184
11,2,222,22,2,NT,4,0.0019862
11,2,222,22,2,NT,5,0.00175045
11,2,222,22,2,NT,6,0.0019367
11,2,222,22,2,NT,7,0.00264905
11,2,222,22,2,NT,8,0.00385173
11,2,222,22,2,NT,9,0.00590292
11,2,222,22,2,NT,10,0.0101246
11,2,222,22,2,NT,11,0.0203467
11,2,222,22,2,NT,12,0.0470686
11,2,222,22,2,NT,13,0.102829
11,2,222,22,2,NT,14,0.194895
11,2,222,22,2,NT,15,0.275776
11,2,222,22,2,NT,16,0.320102
11,2,232,23,2,NT,1,0.0031456
11,2,232,23,2,NT,2,0.00474458
11,2,232,23,2,NT,3,0.0023718
11,2,232,23,2,NT,4,0.00165744
11,2,232,23,2,NT,5,0.00145923
11,2,232,23,2,NT,6,0.00170175
11,2,232,23,2,NT,7,0.00250801
11,2,232,23,2,NT,8,0.00379483
11,2,232,23,2,NT,9,0.00590901
11,2,232,23,2,NT,10,0.0102492
11,2,232,23,2,NT,11,0.0208378
11,2,232,23,2,NT,12,0.0486352
11,2,232,23,2,NT,13,0.106288
11,2,232,23,2,NT,14,0.200293
11,2,232,23,2,NT,15,0.276185
11,2,232,23,2,NT,16,0.310219
11,2,242,24,2,NT,1,0.00283841
11,2,242,24,2,NT,2,0.00420549
11,2,242,24,2,NT,3,0.00192418
11,2,242,24,2,NT,4,0.00130181
11,2,242,24,2,NT,5,0.00119436
11,2,242,24,2,NT,6,0.00148198
11,2,242,24,2,NT,7,0.00235462
11,2,242,24,2,NT,8,0.00371911
11,2,242,24,2,NT,9,0.00591842
11,2,242,24,2,NT,10,0.0105214
11,2,242,24,2,NT,11,0.0216915
11,2,242,24,2,NT,12,0.0508926
11,2,242,24,2,NT,13,0.110471
11,2,242,24,2,NT,14,0.206715
11,2,242,24,2,NT,15,0.274503
11,2,242,24,2,NT,16,0.300267
11,3,12,1,2,NT,1,0.0151789
11,3,12,1,2,NT,2,0.0235558
11,3,12,1,2,NT,3,0.01825
11,3,12,1,2,NT,4,0.0219091
11,3,12,1,2,NT,5,0.0279598
11,3,12,1,2,NT,6,0.0368792
11,3,12,1,2,NT,7,0.0500244
11,3,12,1,2,NT,8,0.0683207
11,3,12,1,2,NT,9,0.0879789
11,3,12,1,2,NT,10,0.102812
11,3,12,1,2,NT,11,0.113124
11,3,12,1,2,NT,12,0.129692
11,3,12,1,2,NT,13,0.126797
11,3,12,1,2,NT,14,0.0971249
11,3,12,1,2,NT,15,0.0571989
11,3,12,1,2,NT,16,0.0231935
11,3,22,2,2,NT,1,0.0145686
11,3,22,2,2,NT,2,0.0219747
11,3,22,2,2,NT,3,0.0181512
11,3,22,2,2,NT,4,0.0222426
11,3,22,2,2,NT,5,0.0282744
11,3,22,2,2,NT,6,0.0368729
11,3,22,2,2,NT,7,0.049886
11,3,22,2,2,NT,8,0.0678263
11,3,22,2,2,NT,9,0.0875293
11,3,22,2,2,NT,10,0.10279
11,3,22,2,2,NT,11,0.112922
11,3,22,2,2,NT,12,0.129626
11,3,22,2,2,NT,13,0.127844
11,3,22,2,2,NT,14,0.0989035
11,3,22,2,2,NT,15,0.0563735
11,3,22,2,2,NT,16,0.0242153
11,3,32,3,2,NT,1,0.0149881
11,3,32,3,2,NT,2,0.0221889
11,3,32,3,2,NT,3,0.0187085
11,3,32,3,2,NT,4,0.0232171
11,3,32,3,2,NT,5,0.0293276
11,3,32,3,2,NT,6,0.0377554
11,3,32,3,2,NT,7,0.0494839
11,3,32,3,2,NT,8,0.0664355
11,3,32,3,2,NT,9,0.0854147
11,3,32,3,2,NT,10,0.100864
11,3,32,3,2,NT,11,0.110869
11,3,32,3,2,NT,12,0.12981
11,3,32,3,2,NT,13,0.128814
11,3,32,3,2,NT,14,0.100459
11,3,32,3,2,NT,15,0.0566938
11,3,32,3,2,NT,16,0.0249703
11,3,42,4,2,NT,1,0.0148954
11,3,42,4,2,NT,2,0.0229228
11,3,42,4,2,NT,3,0.0199066
11,3,42,4,2,NT,4,0.0240845
11,3,42,4,2,NT,5,0.0294673
11,3,42,4,2,NT,6,0.0367511
11,3,42,4,2,NT,7,0.0468838
11,3,42,4,2,NT,8,0.061268
11,3,42,4,2,NT,9,0.0782563
11,3,42,4,2,NT,10,0.0948585
11,3,42,4,2,NT,11,0.108082
11,3,42,4,2,NT,12,0.128967
11,3,42,4,2,NT,13,0.133787
11,3,42,4,2,NT,14,0.108372
11,3,42,4,2,NT,15,0.0618608
11,3,42,4,2,NT,16,0.029637
11,3,52,5,2,NT,1,0.0145263
11,3,52,5,2,NT,2,0.0226868
11,3,52,5,2,NT,3,0.0197049
11,3,52,5,2,NT,4,0.0227948
11,3,52,5,2,NT,5,0.0277706
11,3,52,5,2,NT,6,0.0340083
11,3,52,5,2,NT,7,0.0430246
11,3,52,5,2,NT,8,0.0554968
11,3,52,5,2,NT,9,0.0710329
11,3,52,5,2,NT,10,0.0880828
11,3,52,5,2,NT,11,0.104216
11,3,52,5,2,NT,12,0.133389
11,3,52,5,2,NT,13,0.144653
11,3,52,5,2,NT,14,0.117054
11,3,52,5,2,NT,15,0.0695854
11,3,52,5,2,NT,16,0.0319746
