id,name,total,poverty,non_poverty
1500000US370690606003,"Block Group 3, Census Tract 606, Franklin County, North Carolina",1143,55,1088
1500000US370690606002,"Block Group 2, Census Tract 606, Franklin County, North Carolina",1295,197,1098
1500000US370690607002,"Block Group 2, Census Tract 607, Franklin County, North Carolina",797,172,625
1500000US370690608011,"Block Group 1, Census Tract 608.01, Franklin County, North Carolina",465,80,385
1500000US370690608022,"Block Group 2, Census Tract 608.02, Franklin County, North Carolina",801,71,730
1500000US370690605012,"Block Group 2, Census Tract 605.01, Franklin County, North Carolina",1247,41,1206
1500000US370690605023,"Block Group 3, Census Tract 605.02, Franklin County, North Carolina",1045,207,838
1500000US370690606001,"Block Group 1, Census Tract 606, Franklin County, North Carolina",1062,140,922
1500000US371010401001,"Block Group 1, Census Tract 401, Johnston County, North Carolina",393,216,177
1500000US371010401004,"Block Group 4, Census Tract 401, Johnston County, North Carolina",444,80,364
1500000US371010407003,"Block Group 3, Census Tract 407, Johnston County, North Carolina",228,64,164
1500000US371010408001,"Block Group 1, Census Tract 408, Johnston County, North Carolina",605,155,450
1500000US371010408003,"Block Group 3, Census Tract 408, Johnston County, North Carolina",311,7,304
1500000US371010402011,"Block Group 1, Census Tract 402.01, Johnston County, North Carolina",603,67,536
1500000US371010402013,"Block Group 3, Census Tract 402.01, Johnston County, North Carolina",1042,126,916
1500000US371010402014,"Block Group 4, Census Tract 402.01, Johnston County, North Carolina",163,71,92
1500000US371010402022,"Block Group 2, Census Tract 402.02, Johnston County, North Carolina",1245,128,1117
1500000US371010402023,"Block Group 3, Census Tract 402.02, Johnston County, North Carolina",355,14,341
1500000US371010402032,"Block Group 2, Census Tract 402.03, Johnston County, North Carolina",1761,221,1540
1500000US371010415033,"Block Group 3, Census Tract 415.03, Johnston County, North Carolina",768,37,731
1500000US371010414004,"Block Group 4, Census Tract 414, Johnston County, North Carolina",355,31,324
1500000US371010414001,"Block Group 1, Census Tract 414, Johnston County, North Carolina",780,196,584
1500000US371010410012,"Block Group 2, Census Tract 410.01, Johnston County, North Carolina",628,70,558
1500000US371010410013,"Block Group 3, Census Tract 410.01, Johnston County, North Carolina",610,7,603
1500000US371010410021,"Block Group 1, Census Tract 410.02, Johnston County, North Carolina",1361,159,1202
1500000US371010410023,"Block Group 3, Census Tract 410.02, Johnston County, North Carolina",1186,30,1156
1500000US371010411011,"Block Group 1, Census Tract 411.01, Johnston County, North Carolina",1074,26,1048
1500000US371010411013,"Block Group 3, Census Tract 411.01, Johnston County, North Carolina",894,40,854
1500000US371010411014,"Block Group 4, Census Tract 411.01, Johnston County, North Carolina",574,0,574
1500000US371010411022,"Block Group 2, Census Tract 411.02, Johnston County, North Carolina",1271,63,1208
1500000US371010411023,"Block Group 3, Census Tract 411.02, Johnston County, North Carolina",1097,25,1072
1500000US371010411032,"Block Group 2, Census Tract 411.03, Johnston County, North Carolina",1431,49,1382
1500000US371010411033,"Block Group 3, Census Tract 411.03, Johnston County, North Carolina",1996,172,1824
1500000US371010412012,"Block Group 2, Census Tract 412.01, Johnston County, North Carolina",487,84,403
1500000US371010412021,"Block Group 1, Census Tract 412.02, Johnston County, North Carolina",205,118,87
1500000US371010415011,"Block Group 1, Census Tract 415.01, Johnston County, North Carolina",556,81,475
1500000US371010415012,"Block Group 2, Census Tract 415.01, Johnston County, North Carolina",1186,198,988
1500000US371010415013,"Block Group 3, Census Tract 415.01, Johnston County, North Carolina",914,0,914
1500000US371010415021,"Block Group 1, Census Tract 415.02, Johnston County, North Carolina",596,51,545
1500000US371010415022,"Block Group 2, Census Tract 415.02, Johnston County, North Carolina",1387,117,1270
1500000US371010415023,"Block Group 3, Census Tract 415.02, Johnston County, North Carolina",911,39,872
1500000US371010415031,"Block Group 1, Census Tract 415.03, Johnston County, North Carolina",1176,18,1158
1500000US371010402033,"Block Group 3, Census Tract 402.03, Johnston County, North Carolina",1076,150,926
1500000US371010403012,"Block Group 2, Census Tract 403.01, Johnston County, North Carolina",391,233,158
1500000US371010403013,"Block Group 3, Census Tract 403.01, Johnston County, North Carolina",1056,206,850
1500000US371010403022,"Block Group 2, Census Tract 403.02, Johnston County, North Carolina",798,152,646
1500000US371010403023,"Block Group 3, Census Tract 403.02, Johnston County, North Carolina",710,152,558
1500000US371010409011,"Block Group 1, Census Tract 409.01, Johnston County, North Carolina",670,67,603
1500000US371010409023,"Block Group 3, Census Tract 409.02, Johnston County, North Carolina",652,41,611
1500000US371010409013,"Block Group 3, Census Tract 409.01, Johnston County, North Carolina",977,67,910
1500000US371010409014,"Block Group 4, Census Tract 409.01, Johnston County, North Carolina",801,0,801
1500000US371010409022,"Block Group 2, Census Tract 409.02, Johnston County, North Carolina",1336,65,1271
1500000US371010401005,"Block Group 5, Census Tract 401, Johnston County, North Carolina",498,0,498
1500000US371010407001,"Block Group 1, Census Tract 407, Johnston County, North Carolina",936,215,721
1500000US371010408002,"Block Group 2, Census Tract 408, Johnston County, North Carolina",625,92,533
1500000US371010406001,"Block Group 1, Census Tract 406, Johnston County, North Carolina",496,251,245
1500000US371010410022,"Block Group 2, Census Tract 410.02, Johnston County, North Carolina",692,168,524
1500000US371010411012,"Block Group 2, Census Tract 411.01, Johnston County, North Carolina",441,8,433
1500000US371010411021,"Block Group 1, Census Tract 411.02, Johnston County, North Carolina",2211,174,2037
1500000US371010411031,"Block Group 1, Census Tract 411.03, Johnston County, North Carolina",1694,152,1542
1500000US371010412011,"Block Group 1, Census Tract 412.01, Johnston County, North Carolina",983,122,861
1500000US371010402012,"Block Group 2, Census Tract 402.01, Johnston County, North Carolina",496,59,437
1500000US371010402021,"Block Group 1, Census Tract 402.02, Johnston County, North Carolina",884,126,758
1500000US371010402031,"Block Group 1, Census Tract 402.03, Johnston County, North Carolina",3421,15,3406
1500000US371010415032,"Block Group 2, Census Tract 415.03, Johnston County, North Carolina",751,99,652
1500000US371010414005,"Block Group 5, Census Tract 414, Johnston County, North Carolina",566,14,552
1500000US371010414006,"Block Group 6, Census Tract 414, Johnston County, North Carolina",224,34,190
1500000US371010403011,"Block Group 1, Census Tract 403.01, Johnston County, North Carolina",249,136,113
1500000US371010403021,"Block Group 1, Census Tract 403.02, Johnston County, North Carolina",365,171,194
1500000US371010409012,"Block Group 2, Census Tract 409.01, Johnston County, North Carolina",1083,112,971
1500000US371010409021,"Block Group 1, Census Tract 409.02, Johnston County, North Carolina",438,73,365
1500000US371010410011,"Block Group 1, Census Tract 410.01, Johnston County, North Carolina",1721,298,1423
1500000US371270115004,"Block Group 4, Census Tract 115, Nash County, North Carolina",604,163,441
1500000US371270115003,"Block Group 3, Census Tract 115, Nash County, North Carolina",450,135,315
1500000US371270115005,"Block Group 5, Census Tract 115, Nash County, North Carolina",394,55,339
1500000US371459206021,"Block Group 1, Census Tract 9206.02, Person County, North Carolina",525,77,448
1500000US371459206022,"Block Group 2, Census Tract 9206.02, Person County, North Carolina",1390,95,1295
1500000US371459201003,"Block Group 3, Census Tract 9201, Person County, North Carolina",574,116,458
1500000US371459203001,"Block Group 1, Census Tract 9203, Person County, North Carolina",520,81,439
1500000US371459203002,"Block Group 2, Census Tract 9203, Person County, North Carolina",654,258,396
1500000US371459203004,"Block Group 4, Census Tract 9203, Person County, North Carolina",448,136,312
1500000US371459203005,"Block Group 5, Census Tract 9203, Person County, North Carolina",590,149,441
1500000US371459204002,"Block Group 2, Census Tract 9204, Person County, North Carolina",263,29,234
1500000US371459204003,"Block Group 3, Census Tract 9204, Person County, North Carolina",507,110,397
1500000US371459205004,"Block Group 4, Census Tract 9205, Person County, North Carolina",519,13,506
1500000US371459205001,"Block Group 1, Census Tract 9205, Person County, North Carolina",879,113,766
1500000US371459205002,"Block Group 2, Census Tract 9205, Person County, North Carolina",619,32,587
1500000US371459205003,"Block Group 3, Census Tract 9205, Person County, North Carolina",708,84,624
1500000US371459206011,"Block Group 1, Census Tract 9206.01, Person County, North Carolina",843,205,638
1500000US371459206012,"Block Group 2, Census Tract 9206.01, Person County, North Carolina",338,45,293
1500000US371459206013,"Block Group 3, Census Tract 9206.01, Person County, North Carolina",341,29,312
1500000US371459206014,"Block Group 4, Census Tract 9206.01, Person County, North Carolina",583,77,506
1500000US371459201002,"Block Group 2, Census Tract 9201, Person County, North Carolina",431,47,384
1500000US371459204001,"Block Group 1, Census Tract 9204, Person County, North Carolina",416,76,340
